node,x_mm,y_mm,z_mm
151,-14.822830200195312,-10.944272994995117,-4.694911956787109
152,-14.107370376586914,-12.100250244140625,-6.067460060119629
153,-13.826385498046875,-11.994482040405273,-5.645784378051758
154,-15.256940841674805,-10.887612342834473,-4.968679428100586
155,-14.542505264282227,-12.043549537658691,-6.342034339904785
156,-15.014032363891602,-11.84016227722168,-6.395951747894287
157,-13.578150749206543,-11.359599113464355,-5.420134544372559
158,-13.769858360290527,-11.049856185913086,-5.052361488342285
159,-14.153449058532715,-10.753260612487793,-4.871148109436035
160,-14.626141548156738,-10.549283981323242,-4.925049781799316
161,-13.91068172454834,-11.70526123046875,-6.297597885131836
162,-13.6296968460083,-11.599493026733398,-5.875922679901123
163,-15.060946464538574,-10.492573738098145,-5.199326038360596
164,-14.345816612243652,-11.648560523986816,-6.57217264175415
165,-14.817343711853027,-11.445173263549805,-6.626089572906494
166,-13.381462097167969,-10.96461009979248,-5.650272369384766
167,-13.573168754577637,-10.654867172241211,-5.282499313354492
168,-13.95676040649414,-10.358271598815918,-5.101285934448242
169,-14.429451942443848,-10.154294967651367,-5.155188083648682
170,-13.713993072509766,-11.310272216796875,-6.527735710144043
171,-13.433008193969727,-11.204504013061523,-6.10606050491333
172,-14.864587783813477,-10.097594261169434,-5.429762363433838
173,-15.34168529510498,-10.59798812866211,-5.620185852050781
174,-15.144996643066406,-10.202999114990234,-5.8503241539001465
175,-14.149127960205078,-11.253571510314941,-6.802310466766357
176,-14.621432304382324,-11.049811363220215,-6.8562517166137695
177,-13.184773445129395,-10.569621086120605,-5.880410671234131
178,-13.376480102539062,-10.259878158569336,-5.512637138366699
179,-13.760071754455566,-9.963282585144043,-5.331423759460449
180,-14.232763290405273,-9.759305953979492,-5.385325908660889
181,-13.517304420471191,-10.915283203125,-6.75787353515625
182,-13.236319541931152,-10.809514999389648,-6.336198329925537
183,-14.667899131774902,-9.702605247497559,-5.659900665283203
184,-14.948307991027832,-9.80801010131836,-6.0804619789123535
185,-14.807855606079102,-10.358786582946777,-6.905728816986084
186,-15.004544258117676,-10.753775596618652,-6.675590991973877
187,-14.425130844116211,-10.654605865478516,-7.086350440979004
188,-13.952439308166504,-10.858582496643066,-7.0324482917785645
189,-12.98808479309082,-10.17463207244873,-6.110548496246338
190,-13.179791450500488,-9.864889144897461,-5.742774963378906
191,-13.563383102416992,-9.568293571472168,-5.561561584472656
192,-14.0360746383667,-9.364316940307617,-5.615463733673096
193,-13.320615768432617,-10.520294189453125,-6.988011837005615
194,-13.039630889892578,-10.414525985717773,-6.566336154937744
195,-14.471210479736328,-9.307616233825684,-5.89003849029541
196,-14.751619338989258,-9.413021087646484,-6.3105998039245605
197,-14.611166954040527,-9.963797569274902,-7.135866641998291
198,-14.228442192077637,-10.25961685180664,-7.316488265991211
199,-13.75575065612793,-10.463593482971191,-7.2625861167907715
200,-12.791396141052246,-9.779643058776855,-6.340686321258545
201,-12.983102798461914,-9.469900131225586,-5.9729132652282715
202,-13.366694450378418,-9.173304557800293,-5.7916998863220215
203,-13.839385986328125,-8.969327926635742,-5.845601558685303
204,-13.123927116394043,-10.12530517578125,-7.218149662017822
205,-12.842942237854004,-10.019536972045898,-6.796474456787109
206,-14.274521827697754,-8.912627220153809,-6.120176315307617
207,-14.554930686950684,-9.01803207397461,-6.540737628936768
208,-14.414478302001953,-9.568808555603027,-7.366004467010498
209,-14.031753540039062,-9.864627838134766,-7.546626091003418
210,-13.559062004089355,-10.068604469299316,-7.492724418640137
211,-12.594707489013672,-9.38465404510498,-6.570824146270752
212,-12.78641414642334,-9.074911117553711,-6.2030510902404785
213,-13.170005798339844,-8.778315544128418,-6.0218377113342285
214,-13.64269733428955,-8.574338912963867,-6.075739860534668
215,-12.927238464355469,-9.730316162109375,-7.448287487030029
216,-12.64625358581543,-9.624547958374023,-7.026612281799316
217,-14.07783317565918,-8.517638206481934,-6.350314140319824
218,-14.35824203491211,-8.623043060302734,-6.770875930786133
219,-14.217789649963379,-9.173819541931152,-7.596142768859863
220,-13.835064888000488,-9.46963882446289,-7.776764392852783
221,-13.362373352050781,-9.673615455627441,-7.722862243652344
