element,side,region,center_x_mm,angle_error_deg
13161,1,body,1.8003663619359334,0.38216932503659445
13164,1,body,1.0808939536412534,0.38217077375554753
13167,1,body,1.8603224356969201,0.3822152554915929
13170,1,tail,2.29999995231628,0.0
13179,1,body,0.940996507803599,0.3822138672535496
13180,2,body,1.54055682818095,0.3822188187646951
13182,1,body,1.0009525616963713,0.38217361361347585
13187,1,body,1.2607620557149233,0.3821549983225241
13193,1,body,1.30073273181915,0.3822194315418515
13195,1,body,1.9002931118011501,0.3821413774251295
13199,1,body,1.6005129019419366,0.3822922954140962
13205,1,head,0.056325928618510566,0.35896601460839317
13207,1,body,1.6204982598622635,0.38224960680400494
13211,1,body,1.6005129019419366,0.3822775980225749
13212,1,body,1.56054218610128,0.38213364792248494
13213,1,body,0.4613482356071474,0.3821621878284358
13215,2,body,1.12086462974548,0.3821759985405338
13221,1,body,1.8403370777765897,0.3822740162184878
13222,2,body,1.7404103279113803,0.3822152554915929
13223,1,head,0.03609446560343107,0.1270516766086477
13225,3,body,1.7803810040156067,0.3821931322757209
13227,1,head,0.007890291512012466,0.23620436696858732
13230,1,body,0.6612016757329303,0.3822451605274954
13232,1,head,0.09634333352247874,0.23360050612613573
13235,1,body,0.40139219164848333,0.38224612313578926
13241,1,body,1.4406301577885934,0.38220658363468124
13247,1,body,1.66046897570292,0.3822685037667485
13248,1,body,0.5213042696317035,0.38221323013997194
13249,1,head,0.0631736901899179,0.24127421522748038
13250,2,head,0.136835291981697,0.26813318618037224
13251,1,body,1.66046897570292,0.3823081140478329
13253,2,body,0.7211577097574869,0.38215238912055904
13257,1,body,1.4806008338928198,0.3822740162184878
13258,1,head,0.05670017624894776,0.27858627951352727
13259,1,body,1.36068872610728,0.3822369942700137
13261,3,body,1.8003663619359334,0.3821670004667546
13262,1,body,1.6204982598622635,0.3821326517766526
13264,1,body,0.5213042696317035,0.3822757124754108
13267,1,body,0.36142149567604065,0.38223681995279
13275,1,body,0.4813335835933687,0.38216416553128824
13276,1,body,1.18082062403361,0.38221323013901837
13281,1,body,1.8003663619359334,0.3822080957182328
13287,1,body,1.4806008338928198,0.3821993389328822
13288,1,body,1.4406301577885934,0.3822529664443458
13291,1,head,0.002496327972039533,0.43201132532591335
13292,1,body,1.50058615207672,0.382251160443403
13295,1,body,1.72042500972748,0.3821375289892907
13296,1,body,0.40139219164848333,0.3821958150436314
13299,1,head,0.0030500498445083335,0.3388976052725855
13302,1,body,1.54055682818095,0.3822084470545546
13305,1,body,1.56054218610128,0.38222089122458613
13307,1,body,1.50058615207672,0.38220257825246695
13308,1,body,1.7404103279113803,0.3821857393370058
13311,1,head,0.113282802204291,0.06254113875851303
13315,1,body,0.7011723717053732,0.3822348595498227
13316,1,body,0.581260283788045,0.38216416553128824
13318,1,body,1.2407766977945967,0.3822495598203128
13319,1,body,1.56054218610128,0.3822059808906156
13322,1,body,1.66046897570292,0.3822922954140962
13324,1,body,0.6412163178126017,0.3822593516362332
13325,1,body,1.6005129019419366,0.38217599854244105
13327,1,body,1.56054218610128,0.38221582813130817
13329,2,body,1.7404103279113803,0.38215337957368817
13333,1,body,1.50058615207672,0.3821823248850934
13340,1,body,0.5213042696317035,0.38217701213982563
13343,1,body,1.56054218610128,0.3821458023141061
13344,1,head,0.24353438119093565,1.6647529686981077
13348,1,body,1.56054218610128,0.3822393058536632
13351,1,body,1.18082062403361,0.3822290434487542
13360,1,body,1.50058615207672,0.3822707283493465
13367,1,body,1.4806008338928198,0.38224612313483575
13375,1,body,1.50058615207672,0.3821354011967071
13378,1,body,1.4206447998682667,0.38222767464901297
13379,1,body,1.54055682818095,0.38227072834839304
13381,1,body,1.18082062403361,0.38215920916436313
13390,2,body,0.5412896076838173,0.382172571148953
13391,1,body,1.36068872610728,0.3822451605284489
