time_s,B_mT,command_deg,force_s_N,torque_rock_Nmm,theta_deg
0.0440601,10.999989661352116,8.073939698887658,2.9582206963155187e-05,-0.000253628828688436,9.289099625698347
0.0440701,10.999981153184484,7.998105211266545,2.958678584747026e-05,-0.000258155550150613,9.234844325473007
0.0440801,10.999992229033127,7.921954972146631,2.9591352097120294e-05,-0.00026262846413487137,9.180349328254891
0.0440901,10.999985773323921,7.845491987808986,2.959590564439625e-05,-0.0002671676135877619,9.125569742562707
0.0441001,10.999981526142045,7.768719276881287,2.960044641366274e-05,-0.0002717088922197443,9.070520891887343
0.0441101,10.999997291850804,7.691639870218718,2.9604974327951378e-05,-0.0002761934793666396,9.015218882744659
0.0441201,10.99998274376706,7.614256810784276,2.960948929514361e-05,-0.0002807766942301431,8.95961798140408
0.0441301,10.999982948114507,7.536573153528629,2.9613991222047048e-05,-0.0002853189044417304,8.903754690375356
0.0441401,10.999996645895056,7.458591965269573,2.9618635913323067e-05,-0.00028949879471966937,8.845916593764729
0.0441501,10.999980638468902,7.3803163245708765,2.962426253398484e-05,-0.0002917087043724961,8.778024273934218
0.0441601,10.999985480080717,7.301749321620812,2.962984940372925e-05,-0.0002938982853431641,8.710053151967722
0.0441701,10.999991117142155,7.2228940581101275,2.963541538610108e-05,-0.0002960823581798581,8.64175794908443
0.0441801,10.999979521194229,7.143753647109611,2.9640960066101093e-05,-0.0002983118331528169,8.573161402410424
0.0441901,10.999989180548852,7.06433121294716,2.9646483019794308e-05,-0.0003004786857678409,8.504286878442114
0.0442001,10.999986454582166,6.984629891084505,2.9651983812823364e-05,-0.00030267216161222185,8.435080964855183
0.0442101,10.999979453434081,6.904652827993346,2.965746200577334e-05,-0.000304871061514783,8.365567035680616
0.0442201,10.999994105316214,6.824403181031197,2.9662917150009247e-05,-0.00030700595273318917,8.295768679583029
0.0442301,10.999982722828522,6.743884118316712,2.966834878664809e-05,-0.0003091973122775696,8.22563203339395
0.0442401,10.999980494161917,6.663098818604615,2.9673756450654725e-05,-0.00031135637864669445,8.155180581061696
0.0442501,10.999999689718777,6.582050471160212,2.967913966778852e-05,-0.00031345154737647636,8.084438542719475
0.0442601,10.999979984165236,6.500742275633488,2.9684497953548447e-05,-0.00031562775341637645,8.013351200320988
0.0442701,10.999982699597593,6.419177441932765,2.9689830818288552e-05,-0.00031773773105123876,7.941942632986738
0.0442801,10.999993263938785,6.337359190098039,2.9695137759159074e-05,-0.000319814207445494,7.870237046210735
0.0442901,10.999978298306704,6.255290750173778,2.970041826798516e-05,-0.0003219334288259322,7.798179450138584
0.0443001,10.999986122979823,6.172975362081474,2.97056718255955e-05,-0.0003239850865879627,7.72582097254887
0.0443101,10.999987779226304,6.090416275491702,2.971089790440323e-05,-0.0003260313275614511,7.653105798500801
0.0443201,10.999977722165792,6.007616749695842,2.97160959676615e-05,-0.0003280843469422015,7.580058692660822
0.0443301,10.999990814347623,5.92458005347738,2.9721265470473226e-05,-0.0003300684984802084,7.506704679327776
0.0443401,10.999983296296453,5.841309464982924,2.972640585667338e-05,-0.00033207298539949295,7.432987523438661
0.0443501,10.999978309630771,5.757808271592703,2.973151656383481e-05,-0.00033405064475043155,7.358932116154991
0.0443601,10.999996820331257,5.674079769790872,2.9736597018416035e-05,-0.0003359581693007998,7.284564228523958
0.0443701,10.999979873008764,5.590127265035316,2.9741646636577673e-05,-0.00033790943039720665,7.2098266372646185
0.0443801,10.999980111351618,5.505954071627157,2.9746664828272132e-05,-0.0003398026517118681,7.134744843579336
0.0443901,10.999996113314017,5.421563512579964,2.975165099228359e-05,-0.00034163925809479654,7.059345093144189
0.0444001,10.999977564148558,5.3369589194884925,2.9756604517083775e-05,-0.00034351114739213616,6.983569189501378
0.0444101,10.999983174536201,5.252143632397217,2.9761524784998438e-05,-0.0003453109532339048,6.90744355043796
0.0444201,10.999989772501657,5.167120999668445,2.9766411165170317e-05,-0.0003470781648413334,6.83099453017254
0.0444301,10.999976421217978,5.081894377850141,2.977126302036173e-05,-0.0003488489198631485,6.754163601526972
0.0444401,10.999987542756832,4.996467131543382,2.977607970429771e-05,-0.00035054645380987865,6.677005940327443
0.0444501,10.999984502400325,4.910842633269606,2.9780860559373052e-05,-0.0003522330470728747,6.599462586842007
0.0444601,10.99997649223732,4.825024263337365,2.9785604919767903e-05,-0.00035389389274950256,6.5215603164421045
0.0444701,10.99999325576766,4.739015409708984,2.979031211154533e-05,-0.0003554804395572299,6.443326530912631
0.0444801,10.999980355586096,4.652819467866718,2.9794981448428776e-05,-0.0003570753180686864,6.364701588348178
0.0444901,10.999977821557042,4.566439840678761,2.9799612239983578e-05,-0.0003586176345718856,6.285712792680523
0.0445001,10.999999649366751,4.479879938264893,2.9804203783545385e-05,-0.0003600856382146702,6.20638779861437
0.0445101,10.999977381106314,4.393143177861851,2.9808755366276445e-05,-0.00036157685628087916,6.126666456108819
0.0445201,10.999980449680912,4.306232983688401,2.98132662700947e-05,-0.0003629921987899015,6.04657669683755
0.0445301,10.999992433944598,4.219152786810218,2.9817735764715344e-05,-0.00036435318303430965,5.966146869562891
0.0445401,10.999975624296994,4.131906025004353,2.9822163113614406e-05,-0.0003657100661625533,5.885315759945832
0.0445501,10.99998441310072,4.0444961426235775,2.9826547571122493e-05,-0.0003669901843866495,5.804111799249356
0.0445601,10.999986355404625,3.956926590460378,2.9830888382292288e-05,-0.00036823350781351594,5.722563941628403
0.0445701,10.99997512661167,3.8692008256107364,2.9835184782077712e-05,-0.0003694479381210863,5.640610563261808
0.0445801,10.999989744142958,3.78132231133762,2.9839436001170836e-05,-0.0003705847954193677,5.558280371630566
0.0445901,10.999981460254077,3.693294516934326,2.9843641550978776e-05,-0.0003716994219433548,5.475594641548916
0.0446001,10.999975925462081,3.6051209175874233,2.9848248536871957e-05,-0.00037186925345913035,5.388160716533324
0.0446101,10.999996470827778,3.516804994239657,2.985283626904123e-05,-0.0003718997962037273,5.300125976384895
0.0446201,10.999977791074002,3.4283502334524587,2.9857370421325922e-05,-0.00037192170815794536,5.211678082530093
0.0446301,10.99997805407105,3.339760127268307,2.986185005438798e-05,-0.00037187324594490994,5.12284982489845
0.0446401,10.99999573604509,3.2510381730729287,2.9866274219789835e-05,-0.00037175520363601683,5.033674713241471
0.0446501,10.999975386365861,3.16218787345714,2.9870641965889133e-05,-0.00037162210505002407,4.944086021170006
0.0446601,10.999981541337936,3.07321273607864,2.9874947661172905e-05,-0.000371410848184623,4.8541177085704454
0.0446701,10.99998884390876,2.984116273523503,2.9879192069684016e-05,-0.00037114413088141303,4.763803002624598
0.0446801,10.999974280410594,2.8949020031675192,2.988337716125936e-05,-0.00037084284374376905,4.673075278749005
0.0446901,10.999986411716922,2.805573447037304,2.9887501964755406e-05,-0.00037046354443431715,4.581968590052705
0.0447001,10.999983191079664,2.716134131671323,2.9891565500973792e-05,-0.0003700405012219484,4.490517077887009
