time_s,UR1_rad,UR2_rad,UR3_rad
1.519999999999999997e-02,-2.701373367983947796e-02,-4.626092580738708770e-01,-1.231960287774136603e-01
1.530000000000000110e-02,-2.445278426190706719e-02,-4.593512836727786652e-01,-1.320674823472087756e-01
1.540000000000000049e-02,-2.188721097060690110e-02,-4.559231261466176188e-01,-1.408717851807555765e-01
1.549999999999999989e-02,-1.931790435844199516e-02,-4.523260463030925882e-01,-1.496059170183347276e-01
1.560000000000000102e-02,-1.674575547268217571e-02,-4.485613608564435473e-01,-1.582668838673539635e-01
1.570000000000000215e-02,-1.417165556968302993e-02,-4.446304419095516991e-01,-1.668517189137978529e-01
1.580000000000000154e-02,-1.159649583018587497e-02,-4.405347164221124490e-01,-1.753574834225936629e-01
1.590000000000000094e-02,-9.021167075654859188e-03,-4.362756656651147202e-01,-1.837812676267854273e-01
1.600000000000000033e-02,-6.446559485704192287e-03,-4.318548246618534869e-01,-1.921201916054138259e-01
1.609999999999999973e-02,-3.873562316671799993e-03,-4.272737816157186619e-01,-2.003714061499904664e-01
1.619999999999999912e-02,-1.303063621389002674e-03,-4.225341773249786104e-01,-2.085320936194776653e-01
1.630000000000000199e-02,1.264050029802543098e-03,-4.176377045847913250e-01,-2.165994687836777510e-01
1.640000000000000138e-02,3.826893826737013098e-03,-4.125861075766610875e-01,-2.245707796549400725e-01
1.650000000000000078e-02,6.384584995766977127e-03,-4.073811812455627734e-01,-2.324433083081056395e-01
1.660000000000000017e-02,8.936243074716096121e-03,-4.020247706649482944e-01,-2.402143716886081526e-01
1.666700000000000126e-02,1.064204155669804149e-02,-3.983521690185826691e-01,-2.453628997557374680e-01
