region,parameter,x_mm,radius_mm
HEAD,0.1525,0.005702118555278934,0.0755513224716468
HEAD,0.153,0.005751249334388162,0.07581378596479803
HEAD,0.1535,0.005800635138087468,0.07607637895817464
HEAD,0.154,0.005850276326074569,0.07633910156296231
HEAD,0.1545,0.005900173255758471,0.07660195388784415
HEAD,0.155,0.005950326282262039,0.07686493603900461
HEAD,0.1555,0.006000735758424594,0.0771280481201337
HEAD,0.156,0.006051402034804481,0.0773912902324308
HEAD,0.1565,0.006102325459681662,0.077654662474609
HEAD,0.157,0.006153506379060292,0.07791816494289884
HEAD,0.1575,0.006204945136671309,0.0781817977310526
HEAD,0.158,0.006256642073975003,0.07844556093034818
HEAD,0.1585,0.006308597530163619,0.07870945462959322
HEAD,0.159,0.006360811842163916,0.07897347891512912
HEAD,0.1595,0.006413285344639774,0.07923763387083523
HEAD,0.16,0.0064660183699947514,0.07950191957813246
HEAD,0.1605,0.006519011248374693,0.07976633611598799
HEAD,0.161,0.006572264307670287,0.0800308835609186
