time_s,speed_mm_s,Fwall_norm_N,residual_norm_Ns,Vcom_x,Vcom_y,Vcom_z,P_x,P_y,P_z,Jmag_x,Jmag_y,Jmag_z,Jhydro_x,Jhydro_y,Jhydro_z,Jwall_x,Jwall_y,Jwall_z
0.0002635,0.01248566896042333,0.0,4.214158288140011e-18,-0.007879422983475179,-0.008619599046629128,0.004416914659817637,-7.879401381189043e-11,-8.619575415070653e-11,4.4169025503707246e-11,-7.879753539703803e-11,-8.6203124308457e-11,4.4173326689133476e-11,3.519005128290469e-15,7.373434212235071e-15,-4.3017915852134915e-15,0.0,0.0,0.0
0.0002636,0.012499143535139399,0.0,5.5349218502452555e-18,-0.007887926889910466,-0.008628901096506844,0.004421681168757809,-7.887905264309955e-11,-8.628877439445798e-11,4.421669046242999e-11,-7.888257338553413e-11,-8.629615437921155e-11,4.4220998368557176e-11,3.5241996067504694e-15,7.384301241885071e-15,-4.308132509803492e-15,0.0,0.0,0.0
0.0002637,0.012512626059344518,0.0,1.8293873882307326e-18,-0.007896435452958631,-0.008638208734320009,0.004426450937326996,-7.896413804030978e-11,-8.638185051741071e-11,4.4264388017353516e-11,-7.896766860491567e-11,-8.638924705955289e-11,4.4268702131200054e-11,3.5293997177904694e-15,7.395180004935072e-15,-4.314480283528492e-15,0.0,0.0,0.0
0.00026379999999999996,0.012526118351459212,0.0,5.062662605293483e-18,-0.007904950535264823,-0.008647522891391198,0.004431223965525194,-7.904928862992156e-11,-8.647499183276497e-11,4.4312118168477796e-11,-7.905282106816287e-11,-8.648240236368117e-11,4.431643798433874e-11,3.5346054652654668e-15,7.406070509285066e-15,-4.3208349110134886e-15,0.0,0.0,0.0
0.00026389999999999996,0.012539620466694094,0.0,6.359438958107701e-18,-0.007913471205506468,-0.008656844499042984,0.0044360002533524075,-7.913449509873466e-11,-8.656820765372093e-11,4.435988091580286e-11,-7.913803078824864e-11,-8.657562030578851e-11,4.4364205935245737e-11,3.539816853040467e-15,7.416972762835066e-15,-4.327196396883489e-15,0.0,0.0,0.0
0.00026399999999999997,0.012553129723738997,0.0,5.547386347211219e-18,-0.007921996532360991,-0.008666170763307647,0.004440779335147345,-7.921974813354889e-11,-8.666147004067799e-11,4.440767160272857e-11,-7.922329777813826e-11,-8.666890090005872e-11,4.44120059911893e-11,3.545033884970467e-15,7.427886773485066e-15,-4.333564745763489e-15,0.0,0.0,0.0
0.00026409999999999997,0.012566650144109126,0.0,4.394914106522981e-18,-0.007930529309796113,-0.008675504478152907,0.004445562142232585,-7.930507567396482e-11,-8.675480693323674e-11,4.4455499542455165e-11,-7.930862205078964e-11,-8.676224416066751e-11,4.4459838159433536e-11,3.5502565649154673e-15,7.438812549185066e-15,-4.339939962278489e-15,0.0,0.0,0.0
0.00026419999999999997,0.012580178349236536,0.0,1.903342433396762e-18,-0.007939066743844115,-0.008684843780933618,0.004450347743285551,-7.93904497803819e-11,-8.684819970499681e-11,4.450335542178241e-11,-7.939400361915325e-11,-8.685565010178246e-11,4.450770244723838e-11,3.555484896735468e-15,7.449750097835066e-15,-4.3463220510534894e-15,0.0,0.0,0.0
0.0002643,0.012593715734536872,0.0,3.042996861211576e-18,-0.007947609765827568,-0.00869418960297235,0.004455136603967529,-7.947587976600029e-11,-8.694165766915837e-11,4.4551243897310424e-11,-7.947944249617205e-11,-8.694911873756296e-11,4.455559886185957e-11,3.560718884290468e-15,7.460699427335066e-15,-4.35271101671349e-15,0.0,0.0,0.0
0.0002644,0.01260726305247853,0.0,3.5215823110911646e-18,-0.007956159307069048,-0.008703541944269108,0.004459929189939808,-7.956137494402022e-11,-8.703518082572144e-11,4.4599169625639315e-11,-7.95649386947816e-11,-8.704265008216028e-11,4.460352741054868e-11,3.565958531450468e-15,7.471660545635066e-15,-4.35910686388849e-15,0.0,0.0,0.0
