time_s,Ktrans_J,Krot_J,Ktotal_J,Wmag_trans_J,Wmag_rot_J,Whydro_trans_J,Whydro_rot_J,Wcontact_net_J,Fwall_norm_N,omega_norm_rad_s,Vcom_norm_mm_s
0.0010084999999999998,2.048204872000024e-06,3.0637454498483004e-07,2.3545794169848543e-06,-8.873051672495663e-12,2.2524335420481332e-07,-1.8332318328532148e-11,-5.657194217520532e-11,-1.951168289745691e-07,0.0,608.6876622407235,640.0328878096054
0.0010086,2.0482042324599578e-06,3.062605333755427e-07,2.3544647658355006e-06,-9.088427995320898e-12,2.2512941391510226e-07,-1.880576893905298e-11,-5.662016653059083e-11,-1.9511680278292251e-07,0.0,608.6648800415257,640.0327878863231
0.0010087,2.0482034945759256e-06,3.0614672844830226e-07,2.354350223024228e-06,-9.303822368896777e-12,2.250156570281413e-07,-1.9279221734087945e-11,-5.666838071090093e-11,-1.9511685164588536e-07,0.0,608.6421627628035,640.032672597523
0.0010088,2.048202855036092e-06,3.0603309575063276e-07,2.3542359507867246e-06,-9.519234778620762e-12,2.2490208354197974e-07,-1.9752676710910832e-11,-5.671658473413637e-11,-1.9511681332581752e-07,0.0,608.6195044558971,640.0325726742434
0.0010088999999999999,2.04820221549637e-06,3.059196777409401e-07,2.35412189323731e-06,-9.73466521209164e-12,2.2478869345457708e-07,-2.0226133871435016e-11,-5.6764778618096365e-11,-1.9511674370635126e-07,0.0,608.5968922618121,640.0324727509657
0.001009,2.048201450081013e-06,3.0580644071412195e-07,2.3540078907951347e-06,-9.95011365065183e-12,2.2467548676380048e-07,-2.0699593206129927e-11,-5.681296238032888e-11,-1.9511680236621534e-07,0.0,608.5743202329015,640.0323531605449
0.0010091,2.0482008380732328e-06,3.056933742475736e-07,2.3538942123208063e-06,-1.0165580081552236e-11,2.2456246347537335e-07,-2.1173054715005595e-11,-5.686113603727465e-11,-1.9511672045051917e-07,0.0,608.551789952584,640.0322575388938
0.0010092,2.048200072658155e-06,3.055804690727575e-07,2.3537805417309126e-06,-1.0381064490189733e-11,2.2444962359874857e-07,-2.1646518395108213e-11,-5.6909299605648774e-11,-1.9511681405213133e-07,0.0,608.5293202487892,640.0321379484765
0.0010092999999999999,2.048199433118908e-06,3.0546774219593964e-07,2.3536671753148473e-06,-1.0596566860107407e-11,2.243369671396415e-07,-2.211998424147603e-11,-5.695745310186396e-11,-1.9511678688737687e-07,0.0,608.5068719138341,640.032038025205
0.0010094,2.0481988211114475e-06,3.053552329518024e-07,2.35355405406325e-06,-1.0812087182614966e-11,2.2422449409590364e-07,-2.2593452261225135e-11,-5.700559654349148e-11,-1.951166979634525e-07,0.0,608.4844885256525,640.0319424035567
0.0010095,2.048198055696779e-06,3.0524289399834756e-07,2.3534409496951265e-06,-1.1027625439051999e-11,2.241122044654712e-07,-2.3066922444387796e-11,-5.705372994830079e-11,-1.9511677555929884e-07,0.0,608.4621453298746,640.0318228131446
0.0010096,2.048197416157877e-06,3.0513073571965777e-07,2.3533281518775347e-06,-1.1243181612961658e-11,2.2400009825404766e-07,-2.3540394786003427e-11,-5.710185333269881e-11,-1.951167300135673e-07,0.0,608.4398439188639,640.0317228898779
0.0010096999999999999,2.048196678275146e-06,3.050187841094673e-07,2.3532154623846133e-06,-1.1458755691595254e-11,2.2388817546320725e-07,-2.4013869286081643e-11,-5.7149966714530295e-11,-1.951167595536876e-07,0.0,608.4176074659267,640.0316076010891
0.0010098,2.048196038736477e-06,3.0490696612148983e-07,2.3531030048579667e-06,-1.1674347660351389e-11,2.2377643609864498e-07,-2.4487345941967287e-11,-5.719807011023883e-11,-1.9511674054375216e-07,0.0,608.3953880594325,640.0315076778252
0.0010099,2.0481953991979186e-06,3.04795401196019e-07,2.3529908003939375e-06,-1.1889957506830895e-11,2.2366488015463703e-07,-2.4960824755823577e-11,-5.724616353757757e-11,-1.9511665188168548e-07,0.0,608.373255185511,640.0314077545631
0.00101,2.0481946613155724e-06,3.04683970439976e-07,2.3528786317555484e-06,-1.2105585214227518e-11,2.2355350762910098e-07,-2.5434305720330093e-11,-5.7294247014321746e-11,-1.9511671080238954e-07,0.0,608.351140961952,640.0312924657777
0.0010100999999999999,2.0481940217772475e-06,3.0457269944517297e-07,2.3527667212224203e-06,-1.232123076793854e-11,2.2344231853913714e-07,-2.59077888328286e-11,-5.734232055559274e-11,-1.9511669504334664e-07,0.0,608.3290685591109,640.0311925425184
0.0010102,2.048193256363557e-06,3.0446166457424214e-07,2.352654920937799e-06,-1.2536894151506566e-11,2.2333131288256314e-07,-2.6381274088291713e-11,-5.739038417894394e-11,-1.9511675245913107e-07,0.0,608.3070407072448,640.0310729521188
0.0010103,2.0481925055267096e-06,3.0435079128907906e-07,2.3525432968157887e-06,-1.2752575350103843e-11,2.2322049065728511e-07,-2.6854761478996535e-11,-5.7438437902150324e-11,-1.9511681713355122e-07,0.0,608.2850735147155,640.0309556392248
0.0010104,2.048191865988748e-06,3.0424013534298856e-07,2.3524320013317367e-06,-1.296827435318826e-11,2.2310985186494206e-07,-2.732825100961709e-11,-5.7486481743268003e-11,-1.9511673659288556e-07,0.0,608.2631713057834,640.0308557159696
0.0010105,2.048191100575486e-06,3.041296026351206e-07,2.352320703210607e-06,-1.3183991142320988e-11,2.2299939651120276e-07,-2.7801742675683315e-11,-5.753451571875451e-11,-1.9511684211784552e-07,0.0,608.241286197077,640.0307361255741
0.0010106,2.0481904610377664e-06,3.0401929528493016e-07,2.3522097563226966e-06,-1.339972570290066e-11,2.2288912459799378e-07,-2.827523647433387e-11,-5.758253984475362e-11,-1.9511677984006147e-07,0.0,608.2194456417961,640.0306362023224
0.0010107,2.0481897231563557e-06,3.0390915003360324e-07,2.352098873189959e-06,-1.3615478022180334e-11,2.22779036123206e-07,-2.874873240539749e-11,-5.7630554139052146e-11,-1.9511683723546672e-07,0.0,608.1976657763698,640.0305209135444
