event,start_s,end_s,duration_us,peak_force_N,contact_impulse_Ns,bridge_fraction,restitution_status
23,0.004294091369956732,0.0042993915267288685,5.406327545642853,0.5844012628093374,2.2921059697420885e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
24,0.004490290768444538,0.004491791129112244,1.601874828338623,0.32562936284897903,2.806257612766927e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
25,0.004525491036474705,0.004526890814304352,1.501757651567459,0.4025061530414941,3.4676112483663807e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
26,0.004586390685290098,0.004588290583342314,2.002343535423279,0.47569518145539846,4.602234189777842e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
27,0.004749290645122528,0.004750590305775404,1.4016404747962952,0.3071932387509054,2.3145910335933577e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
28,0.004829490091651678,0.0048308903351426125,1.501757651567459,0.6751995384268367,5.801672167669943e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
29,0.004906489979475737,0.0049077901057899,1.4016404747962952,0.16056681178728494,1.2667087848127887e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
30,0.004953490104526281,0.0049547902308404446,1.4016404747962952,0.09369982504923252,6.97937792643538e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
31,0.004979489836841822,0.004980789963155985,1.4016404747962952,0.04943327171269251,3.910749204503166e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
32,0.004994189832359552,0.004995590075850487,1.501757651567459,0.027671087426903353,2.178599908767723e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
33,0.005002089776098728,0.005145189817994833,143.36779713630676,0.09829028889554421,3.91413361317677e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
34,0.00518948957324028,0.005190789699554443,1.4016404747962952,0.09029831497242448,6.83067028520734e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
35,0.005214589647948742,0.005215989425778389,1.501757651567459,0.04741246814512003,3.6994817497383516e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
36,0.005227489396929741,0.005341789219528437,114.53405022621155,0.273283732135277,2.0270031422636898e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
37,0.005422588903456926,0.0054238890297710896,1.4016404747962952,0.1592945248304297,1.247139210431542e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
38,0.005468688905239105,0.005469989031553268,1.4016404747962952,0.09050749144676158,6.847718080413666e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
39,0.0054942891001701355,0.0054956888779997826,1.501757651567459,0.046660431492726286,3.757504098065027e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
40,0.005507688969373703,0.00560188852250576,94.4104976952076,0.1681585462557329,1.1610138076286413e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
41,0.0056517887860536575,0.0056552886962890625,3.604218363761902,0.2118240517042299,1.1245705254157865e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
42,0.005729288328438997,0.005731288343667984,2.1024607121944427,0.11818911025788223,2.317960122647015e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
43,0.005771588534116745,0.005772988311946392,1.501757651567459,0.07567730585160322,5.807589461669857e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
44,0.0057851881720125675,0.005786688532680273,1.601874828338623,0.06801548843840208,5.989538202462542e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
45,0.005801888182759285,0.005803288426250219,1.501757651567459,0.04060136352752905,3.236442110617462e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
46,0.005812888499349356,0.005891288165003061,78.5919837653637,0.09083095930385574,1.4091631477237895e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
47,0.005925588309764862,0.005926988087594509,1.501757651567459,0.06402721167167673,5.5553909293082634e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
48,0.005948188249021769,0.005949688144028187,1.601874828338623,0.03736917687159739,3.359188867557134e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
49,0.00596128823235631,0.005965888034552336,4.705507308244705,0.09082746087537545,5.627102031196514e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
50,0.005986988078802824,0.005988487973809242,1.601874828338623,0.0393012007591017,3.54833173946573e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
51,0.005999087821692228,0.006060387939214706,61.47194653749466,0.15670969463980453,2.608193771009556e-07,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
52,0.006137387827038765,0.006138687487691641,1.4016404747962952,0.1265299552603067,9.923851554400648e-08,1.0,UNRESOLVED_OPPOSING_CONTACT_RESULTANTS
