t_s,freq_Hz,phase_rad,B_mT,robot_arc_mm,driver_arc_mm,delta_s_mm,robot_arc_velocity_mm_s,rp_speed_mm_s,ur1,ur2,ur3,theta_norm_rad,Ft_mN,torque_mag_Nmm
0.0131355178221427,16.49357809437494,4.866314280583052,10.0,13.999960625932426,18.97877373293285,4.978813107000425,7.450580596923828e-09,328.4962706939854,-0.3697470998614884,-1.2252524402823266,-0.9816114493090428,1.6129220370769248,-0.005797893180693196,0.0014653413474462766
0.0131384169546005,16.496114835275485,4.866614747183983,9.999999999999899,13.999960625932426,18.9787911277276,4.978830501795175,0.0,328.4493889244472,-0.3695693005335185,-1.2268730414534998,-0.9823824634306776,1.6145817514756946,-0.005803984246423062,0.0014860033190244439
0.0131413160814689,16.49865157128532,4.866915259414224,10.0,13.999960625932426,18.97880852248881,4.978847896556383,-7.450580596923828e-09,328.40235936225355,-0.3693916848225441,-1.22849207925143,-0.9831522621295192,1.6162398881756168,-0.005810049557527583,0.0015066377579769864
0.0131442151904926,16.50118829168109,4.8672158160028856,10.0,13.999960625932426,18.97882591714296,4.978865291210534,0.0,328.35482198784166,-0.3692142591257855,-1.2301095202487728,-0.9839208283070968,1.6178964111849041,-0.00581608901557566,0.0015272441786505241
0.0131471143264747,16.503725035665447,4.867516421595007,10.0,13.999960625932426,18.978843311958848,4.978882686026422,-7.450580596923828e-09,328.3078037868863,-0.3690370258971097,-1.2317253670794948,-0.984688162017367,1.6195513214490118,-0.005822102657804319,0.0015478225551846519
0.0131500134480819,16.506261767071692,4.8678170719051135,10.0,13.999960625932426,18.97886070668849,4.978900080756064,0.0,328.26012881954915,-0.3688599930496236,-1.2333395727193883,-0.9854542397450196,1.6212045690595762,-0.005828090337534814,0.0015683722303410099
0.0131529125844008,16.50879851135074,4.868117769949626,10.0,13.999960625932426,18.978878101506403,4.978917475573978,-7.450580596923828e-09,328.21287432056135,-0.3686831642100829,-1.2349521293342385,-0.98621905660539,1.6228561442502396,-0.005834052055136452,0.0015888930469386017
0.0131558117109518,16.511335247082858,4.86841851318963,10.0,13.999960625932426,18.97889549626571,4.978934870333285,0.0,328.1650320126128,-0.3685065462291393,-1.236562999801881,-0.9869825938386226,1.6245060072628759,-0.00583998770370399,0.0016093844759028104
0.0131587108454035,16.513871989728063,4.868719303457948,10.0,13.999960625932426,18.97891289107242,4.978952265139993,7.450580596923828e-09,328.1175020654506,-0.3683301434954518,-1.2381721695607726,-0.9877448434058252,1.6261541414506218,-0.00584589726096769,0.001629846276329517
0.0131616099750951,16.516408728208244,4.869020139441085,10.0,13.999960625932426,18.97893028585057,4.978969659918144,7.450580596923828e-09,328.06978557155514,-0.3681539620371418,-1.2397796092037698,-0.9885057902531726,1.627800514966483,-0.005851780651185839,0.001650278019196408
0.0131645090878928,16.51894545190628,4.869321019879422,10.0,13.999960625932426,18.978947680527355,4.9789870545949295,-7.450580596923828e-09,328.0214529353195,-0.3679780082013567,-1.2413852865145245,-0.9892654180267224,1.6294450930909492,-0.005857637789954203,0.0016706792412781446
0.0131674082356863,16.521482206225535,4.869621950158678,10.0,13.999960625932426,18.97896507541412,4.979004449481694,-7.450580596923828e-09,327.9739662642013,-0.367802284144315,-1.2429892076317306,-0.990023728532377,1.6310878803939053,-0.005863468733697658,0.001691049967170518
0.0131703073609761,16.524018940854127,4.86992292431075,10.0,13.999960625932426,18.978982470165857,4.979021844233431,-7.450580596923828e-09,327.92581649534696,-0.3676267987096568,-1.2445913177654828,-0.9907806947830252,1.6327288190454243,-0.005869273318242342,0.001711389448527134
0.0131732064862579,16.526555675475663,4.870223944670487,10.0,13.999960625932426,18.978999864917547,4.979039238985122,-7.450580596923828e-09,327.8775626548223,-0.3674515561823067,-1.2461916038349203,-0.9915363095387382,1.6343678939403914,-0.00587505153256628,0.0017316974681317475
0.0131761056259762,16.529092422729185,4.870525012738039,10.0,13.999960625932426,18.979017259755857,4.979056633823431,1.4901161193847656e-08,327.8294957676846,-0.3672765609497665,-1.2477900519354077,-0.9922905651796766,1.6360050891353173,-0.005880803363356723,0.0017519737986316285
0.0131790047603458,16.531629165302636,4.87082612645898,10.0,13.999960625932426,18.979034654562074,4.979074028629649,0.0,327.78130526212203,-0.3671018197280241,-1.2493866269975182,-0.9930434441184106,1.6376403670142041,-0.005886528722316167,0.0017722179454278757
0.0131819038964213,16.534165909368678,4.871127286565927,10.0,13.999960625932426,18.979052049378527,4.979091423446102,1.4901161193847656e-08,327.7329044988421,-0.366927337571616,-1.2509813092270543,-0.993794935999334,1.6392737056119548,-0.0058922275774324585,0.0017924296086565584
0.0131848030432961,16.53670266288414,4.871428494003805,10.0,13.999960625932426,18.97906944425977,4.9791088183273455,7.450580596923828e-09,327.68461881243144,-0.3667531193860167,-1.2525740802976468,-0.9945450311747392,1.6409050844723567,-0.0058978999029468135,0.00181260850790989
0.0131877021779254,16.539239405684732,4.871729746378325,10.0,13.999960625932426,18.979086839067552,4.979126213135126,7.450580596923828e-09,327.6362054237936,-0.3665791719489198,-1.254164904864228,-0.995293712005178,1.642534465713551,-0.005903545613764337,0.0018327541481090908
0.0131906013083629,16.541776144817536,4.872031044525974,10.0,13.999960625932426,18.979104233850176,4.9791436079177505,7.450580596923828e-09,327.5876567065684,-0.3664055004598051,-1.2557537621048365,-0.996040967715665,1.644161826334503,-0.005909164677899582,0.0018528662195361752
0.0131935004488813,16.54431289277116,4.872332389930213,10.0,13.999960625932426,18.979121628693285,4.9791610027608595,-7.450580596923828e-09,327.53915825666417,-0.3662321093693107,-1.257340638152982,-0.9967867908173422,1.645787150463868,-0.005914757088873978,0.0018729445009641938
0.0131963995785684,16.546849631247426,4.872633780417345,10.0,13.999960625932426,18.979139023471408,4.979178397538982,7.450580596923828e-09,327.49022951756376,-0.3660590055088724,-1.2589254974515658,-0.9975311636465536,1.6474104000199417,-0.005920322764938201,0.0018929884979839988
0.0131992987287788,16.54938638768149,4.87293521924718,9.999999999999899,13.999960625932426,18.97915641837267,4.979195792440246,-7.450580596923828e-09,327.44188080621535,-0.365886192529272,-1.2605083336580012,-0.998274082283986,1.6490315668490925,-0.005925861728195155,0.0019129980866171758
0.0132021978606871,16.551923128101265,4.873236702382922,10.0,13.999960625932426,18.97917381316412,4.979213187231695,-7.450580596923828e-09,327.3928924665048,-0.3657136781500125,-1.2620891032626826,-0.9990155253831454,1.6506506047365006,-0.005931373871719704,0.0019329726738302935
0.0132050970050729,16.554459879438795,4.873538233025213,9.999999999999899,13.999960625932426,18.97919120803044,4.979230582098014,-7.450580596923828e-09,327.3442765018961,-0.3655414662613086,-1.263667797926061,-0.9997554881240032,1.65226750349507,-0.005936859212804921,0.0019529121125009838
0.0132079961438555,16.556996625873577,4.873839809293718,10.0,13.999960625932426,18.97920860286313,4.979247976930706,0.0,327.2955824252328,-0.3653695631853988,-1.2652443871178838,-1.0004939552982035,1.6538822302158767,-0.005942317692446227,0.001972815975556462
