node,x_mm,y_mm,z_mm
200,-6.675703176990826,-3.961702890749205,-9.40323493719169
201,-6.6792445806731315,-3.628667133796736,-9.220105065755465
202,-6.703352078416401,-3.713141041654002,-9.163829506472009
203,-6.7248328998418305,-3.957225976630582,-9.199139086772874
204,-6.724356510663184,-3.7962463172130527,-9.11960884388165
205,-6.717751315086708,-3.7281992071818304,-9.112298436035635
206,-6.693383498038572,-3.726236798642565,-9.211410421581373
207,-6.678811667825268,-3.581169545035343,-9.197840413533514
208,-6.679764300348365,-3.6812721631242407,-9.244598474262578
209,-6.728282027917344,-3.855860661466422,-9.13365899526622
210,-6.714514039323753,-3.902292058108456,-9.213722621724672
211,-6.603362340416717,-3.7431944050218897,-9.589809920434037
212,-6.7186080540226785,-3.9932806626570914,-9.242962101396403
213,-6.62609822084258,-3.8227761236656774,-9.53669269004983
214,-6.654877227979758,-3.912857071161575,-9.464064380630495
215,-6.713381572290528,-3.81990016956104,-9.176668442972764
216,-6.666235222945212,-3.581060151201959,-9.249450290774432
217,-6.66623891077182,-3.6342085851577473,-9.276338677398197
218,-6.617396806546635,-3.763112928403661,-9.542237657451162
219,-6.709619000510269,-3.9421298587601283,-9.253997658884972
220,-6.642065471170514,-3.8430547891815063,-9.481362665227042
221,-6.680764617473908,-3.737736959897411,-9.269071341665411
222,-6.704416067629462,-3.9835740963217288,-9.296350726951632
223,-6.689956676195587,-3.9615664240802837,-9.344611104918956
224,-6.700241419243197,-3.886070404594489,-9.26414458573866
225,-6.718077952454504,-3.8672540306939993,-9.181345604706225
226,-6.666459955803523,-3.6891111384318998,-9.303222068175346
227,-6.632314151370364,-3.7847767254497033,-9.491921894338754
228,-6.6529778146680085,-3.587186549800884,-9.307014166096952
229,-6.69660480189412,-3.789877045112033,-9.230391446219771
230,-6.607681720288884,-3.703053095639381,-9.551746110910099
231,-6.706034272547912,-3.8502867638148883,-9.222233440228099
232,-6.646451437140215,-3.8007987239520946,-9.441954832150023
233,-6.623937579310507,-3.725650685808084,-9.496404284561516
234,-6.69464442736192,-3.9242533220935387,-9.306465618392984
235,-6.653953552742723,-3.5403919142496485,-9.27931847189803
236,-6.652455951941048,-3.640018317936219,-9.335901270184543
237,-6.6818037716648035,-3.79518062785396,-9.293880163544049
238,-6.666964113294337,-3.746220938736253,-9.33005970569907
239,-6.680087880053228,-3.9101337357890427,-9.359118041405885
240,-6.656410894309985,-3.8542029459137264,-9.428073434292724
241,-6.6378438890924025,-3.7526358369154713,-9.452935600521943
242,-6.684057883255027,-3.858671277978058,-9.316758782452053
243,-6.639560553664337,-3.5373909625531446,-9.336927233815093
244,-6.668763727040239,-3.8043967513601142,-9.352115095038469
245,-6.708138294787754,-3.7622667623733714,-9.169034521008266
246,-6.63906089350572,-3.592487675151171,-9.366869633938705
247,-6.651728186498424,-3.6949379553587773,-9.366691114092498
248,-6.667257476324947,-3.8989389905558776,-9.406159843140061
249,-6.614766958815181,-3.6565855602587254,-9.49911757480408
250,-6.652144597367914,-3.7582921491988097,-9.397050111651662
251,-6.634776050174098,-3.695126224387613,-9.436427430828983
252,-6.638381701253904,-3.64301476729225,-9.395236444646134
253,-6.624514582671309,-3.548343522142396,-9.404281682236617
254,-6.599229646235839,-3.649495935678614,-9.55935761648912
255,-6.669204054373386,-3.856691542017703,-9.37677761332265
256,-6.600747821582229,-3.6060739174552197,-9.531140743668386
257,-6.658594941938619,-3.8148764236125947,-9.399194218302684
258,-6.627931916914446,-3.600566793933394,-9.41667816561227
259,-6.625704142368002,-3.63576484963388,-9.443647201806472
260,-6.6130080224960075,-3.5840105333316226,-9.469606250754515
261,-6.693748430817273,-3.836017225667003,-9.265481680042267
262,-6.660793647922993,-3.369365877486934,-9.421207746757606
263,-6.64869473872517,-3.3830330697155233,-9.477829517069875
264,-6.63817210820602,-3.404921825117504,-9.53213750634185
265,-6.629450023992172,-3.4345655793367986,-9.58297422835651
266,-6.62271438089615,-3.471332570866343,-9.62925621395462
267,-6.618108739385507,-3.5144391341531684,-9.669997014306354
268,-6.615731265136025,-3.5629665442654526,-9.704328300229552
269,-6.615632620880186,-3.615880530854517,-9.731518400574046
