time_s,Jmag_x_Nmm_s,Jmag_y_Nmm_s,Jmag_z_Nmm_s,Jmag_norm_Nmm_s,Jhydro_norm_Nmm_s
0.0077001000754535,-3.9371919474002085e-06,-6.937703604191348e-05,-1.5717418022947978e-05,7.124403020393867e-05,3.379434166532084e-09
0.0077499998733401,-4.1106294114490775e-06,-6.986736765040956e-05,-1.5691879109900008e-05,7.17257374068436e-05,3.366237332825903e-09
0.0078000999055802,-4.283738826271183e-06,-7.036034646191127e-05,-1.5664420750974424e-05,7.221012982979224e-05,3.3573486711051223e-09
0.0078501002863049,-4.455047685906091e-06,-7.085229408969952e-05,-1.563521434229673e-05,7.269356887088795e-05,3.3530297361526006e-09
0.0079001002013683,-4.624551230919483e-06,-7.134316616244734e-05,-1.5604277972876977e-05,7.317600237253182e-05,3.3535596803677434e-09
0.0079500004649162,-4.791570460447567e-06,-7.183094400967874e-05,-1.5571761994039705e-05,7.365543724938477e-05,3.3593232554346707e-09
0.0080000003799796,-4.956414969542967e-06,-7.231647136303986e-05,-1.553763582145233e-05,7.413269323767855e-05,3.3708355417158574e-09
0.0080500002950429,-5.1183760587810924e-06,-7.279759402538838e-05,-1.550207930069011e-05,7.460564276252334e-05,3.3886603537531826e-09
0.0081000002101063,-5.276827817208024e-06,-7.327392188597508e-05,-1.5465047945957112e-05,7.507383198115833e-05,3.4134265508694347e-09
0.0081500997766852,-5.430103291332087e-06,-7.375086021177021e-05,-1.542538792315175e-05,7.554216038948266e-05,3.4161984146526234e-09
0.0082000996917486,-5.575353921248895e-06,-7.423186368813086e-05,-1.5381940427768168e-05,7.601353990759696e-05,3.3965378658044595e-09
0.0082499999552965,-5.711713336697883e-06,-7.471734945297477e-05,-1.533439568323341e-05,7.648823222881105e-05,3.383882082032484e-09
0.0082999998703598,-5.839340338450727e-06,-7.520793012266917e-05,-1.5282610299159175e-05,7.69668034056275e-05,3.3783223647863157e-09
0.0083330003544688,-5.919646127329923e-06,-7.55331642090554e-05,-1.5246675453019394e-05,7.728364780517703e-05,3.3786482348242343e-09
