time_s,Krot_J,Wmag_J,Whydro_J,Wnonmag_resolved_J,Fhydro_power_W,Thydro_power_W
0.0045000999234616,1.182504624308302e-06,4.141881482773011e-06,-5.437471271384314e-09,-2.959376858464709e-06,-0.0018690487285043138,-0.001233695495285465
0.0045500001870095,1.011167099343052e-06,4.183401700349774e-06,-5.490886930363004e-09,-3.172234601006722e-06,-0.0017167429516711406,-0.0009072013730212533
0.0046000001020729,1.0032328012548066e-06,4.178487243230869e-06,-5.535968988775891e-09,-3.1752544419760625e-06,-0.0017542556472034297,-0.0008960840267928438
0.0046501001343131,1.0224506059333636e-06,4.197490541183169e-06,-5.581207603498363e-09,-3.175039935249805e-06,-0.0017917568292238769,-0.0009098475345115682
0.0046999999321997,1.081865730546958e-06,4.2508944455724675e-06,-5.6277519266296905e-09,-3.16902871502551e-06,-0.0018290317930232977,-0.0009556639546171553
0.004749999847263,1.1807209258855295e-06,4.338396362878744e-06,-5.677470189490577e-09,-3.1576754369932144e-06,-0.0018664976848615528,-0.0010330699381482082
0.0048000998795032,1.317780363629987e-06,4.459151960422586e-06,-5.731936533717521e-09,-3.1413715967925992e-06,-0.0019045171937144795,-0.0011412338214106849
0.0048500001430511,4.5167397032442306e-07,4.543588959974219e-06,-5.777008743016563e-09,-4.091914989649795e-06,-0.0019433714972725462,-0.0006652580122757862
0.0049000000581145,2.812670629365824e-07,4.502941283491272e-06,-5.800739381858937e-09,-4.2216742205546895e-06,-0.004973311095145766,-0.0002839691539017384
0.0049501000903546,2.8055539848911626e-07,4.384295002916638e-06,-5.81366649869706e-09,-4.1037396044275215e-06,-0.004953642883120087,-0.00023208308239906647
0.0049999998882412,3.043326151186828e-07,4.2592958758866745e-06,-5.823909870585708e-09,-3.954963260767992e-06,-0.004939143949346084,-0.00017847456803175108
0.0050500999204814,4.495073843473013e-07,4.120154440941629e-06,-5.8388198399205344e-09,-3.670647056594327e-06,-0.0032779366626781384,-0.00041673340562152093
0.0051000998355448,3.8725422244362985e-07,3.978213201327936e-06,-5.857341255036472e-09,-3.590958978884306e-06,-0.0032432189456652037,-0.0003241244575349659
0.0051500000990927,2.5102858944249145e-07,3.862647406882212e-06,-5.870784844621146e-09,-3.611618817439721e-06,-0.0032134592353251683,-0.00021469392252304294
0.0052001001313328,1.5704933643566414e-07,3.782791617769076e-06,-5.879638941214578e-09,-3.625742281333412e-06,-0.0031886165138042145,-0.00013876279985986612
0.0052501000463962,2.665924734448183e-07,3.722798016102604e-06,-5.8864119002131615e-09,-3.4562055426577855e-06,-0.003168983154637855,-0.00013215602030193377
0.0052999998442828,4.888345216151963e-07,3.6634223293199175e-06,-5.899713542711335e-09,-3.1745878077047212e-06,-0.0016728170775255468,-0.00040097810294249315
0.005350099876523,4.5643858547852616e-07,3.619622120853265e-06,-5.918942614651458e-09,-3.1631835353747385e-06,-0.0016409668664907817,-0.00036664902543663764
0.0054000997915863,4.4543400940816985e-07,3.610618673404357e-06,-5.937048763509155e-09,-3.165184663996187e-06,-0.001613774937988779,-0.00035759815917454744
0.0054500000551342,4.764049942642816e-07,3.6375841596215413e-06,-5.955503136037991e-09,-3.16117916535726e-06,-0.001591428461462892,-0.00038205214391940604
0.0055001000873744,5.489959649392446e-07,3.7005483370487458e-06,-5.976093298630694e-09,-3.151552372109501e-06,-0.0015741062493484668,-0.0004399099056850753
0.0055501000024378,6.627572594750329e-07,3.7986609498617114e-06,-6.0003566645892826e-09,-3.1359036903866785e-06,-0.0015623096937668534,-0.0005306263813395133
0.0055999998003244,8.167827950917961e-07,3.930958467500547e-06,-6.029896489313784e-09,-3.1141756724087506e-06,-0.0015564672637042034,-0.0006533393249598064
0.0056500998325645,8.741651933623421e-07,4.074206738724215e-06,-6.064703111822022e-09,-3.200041545361873e-06,-0.0015570957067897817,-0.0007361457093583519
0.0057001002132892,9.194998926995904e-07,4.187259959194256e-06,-6.101573058533896e-09,-3.2677600664946656e-06,-0.0011557083905838034,-0.0007386409293625953
0.0057500000111758,2.3515494160811345e-07,4.215036476197912e-06,-6.127920113931019e-09,-3.979881534589798e-06,-0.0011414429639920991,-0.00031735755211414465
0.005800100043416,3.106188645136793e-07,4.129506381911204e-06,-6.142860474321577e-09,-3.818887517397525e-06,-0.0030987744667180274,-0.0002790636365560515
0.0058499998413026,2.3532395230808365e-07,4.003755574589642e-06,-6.154564939308415e-09,-3.7684316222815583e-06,-0.003067620070459186,-0.00019005509668759492
0.0059000002220273,1.232986740669862e-07,3.907040322875101e-06,-6.161834360208414e-09,-3.7837416488081145e-06,-0.0030432192493919,-0.00010071952521076177
0.0059500997886061,5.5257454122502566e-08,3.8478957748180595e-06,-6.1655222114043824e-09,-3.7926383206955568e-06,-0.0030258103471382915,-4.65013570365183e-05
0.006000000052154,3.189145003590025e-08,3.827353299681424e-06,-6.167383925200409e-09,-3.7954618496455233e-06,-0.0030156123413898396,-2.8116036286045996e-05
0.0060501000843942,5.373997803184946e-08,3.845595884712227e-06,-6.169237133546146e-09,-3.7918559066803775e-06,-0.003012635892613533,-4.5864289189693995e-05
0.0061000999994575,1.203647348438591e-07,3.902456065413306e-06,-6.172872926878326e-09,-3.782091330569447e-06,-0.003016969283967592,-9.956769114774193e-05
0.0061499997973442,6.91450171894711e-08,3.9517546877004036e-06,-6.177070171252709e-09,-3.882609670510932e-06,-0.0027654516648796465,-6.865921766312539e-05
0.0062000998295843,1.6393607483924837e-07,3.9479303462386936e-06,-6.183083655514021e-09,-3.7839942713994453e-06,-0.0025091605596730604,-0.00017139987980382618
0.006250100210309,1.5414418087384368e-07,3.936688918548082e-06,-6.191478594781784e-09,-3.782544737674238e-06,-0.0025111764965578516,-0.00016439513399760212
0.0063000000081956,1.8840356053436467e-07,3.9638410070248725e-06,-6.200392529519026e-09,-3.775437446490508e-06,-0.0025169352826079723,-0.00019287824644768898
0.0063501000404357,2.6741953408617284e-07,4.029744481146066e-06,-6.211669240757687e-09,-3.762324947059893e-06,-0.002526457076124004,-0.0002572895771823789
0.0064000999554991,3.9082677334311707e-07,4.133612310321686e-06,-6.227029689035292e-09,-3.7427855369785687e-06,-0.0025397593963298127,-0.0003571293976549919
0.006450000219047,4.956690380113989e-07,4.268225816460152e-06,-6.247555424293206e-09,-3.772556778448753e-06,-0.0025569675500242547,-0.0004655410172301152
0.0065000997856259,2.3242971661473453e-07,4.375442012023121e-06,-6.262847403255876e-09,-4.143012295408386e-06,-0.0023410005705573164,-0.00014492250598569488
0.0065501001663506,1.8805790734454207e-07,4.408713013435007e-06,-6.2712836891269315e-09,-4.2206551060904645e-06,-0.0023302742231034856,-0.0001925263593541761
0.0065999999642372,2.1160638008265384e-07,4.426823323755115e-06,-6.281387703230572e-09,-4.215216943672461e-06,-0.002316149781756771,-0.000212445786088252
0.0066500999964773,2.7821905869329576e-07,4.482181888647688e-06,-6.293395603238562e-09,-4.203962829954392e-06,-0.002298551407104804,-0.00026691119118648287
0.0067000999115407,3.87608576828962e-07,4.574153843793991e-06,-6.308956458804235e-09,-4.186545266965028e-06,-0.0022778016544364307,-0.0003555240887911568
0.0067500001750886,5.390358965529147e-07,4.701905528764017e-06,-6.329741573919773e-09,-4.162869632211103e-06,-0.002254355919990921,-0.0004775422574651593
0.0068001002073287,7.306871707830303e-07,4.865141057391231e-06,-6.357538872458508e-09,-4.134453886608201e-06,-0.0022287219388289533,-0.0006321296248010628
0.0068501001223921,1.2159301242168033e-07,4.9687948312151525e-06,-6.378658247320149e-09,-4.847201818793472e-06,-0.0022019240189011147,-0.00021264680471334152
0.0069001000374555,6.85413096495352e-07,4.896567905927235e-06,-6.401066612883055e-09,-4.211154809431883e-06,-0.0028804740551048144,-0.0006836893404378254
0.0069500999525189,8.042278905612385e-07,4.716635255468625e-06,-6.434483380945115e-09,-3.912407364907387e-06,-0.0028482402340854573,-0.0006529836526937385
0.0070000998675823,6.059620094262371e-07,4.545404415232276e-06,-6.463183855251585e-09,-3.9394424058060394e-06,-0.002822187861858465,-0.000495037269744925
0.0070500997826457,4.4810218191385947e-07,4.408845674558654e-06,-6.484795066071663e-09,-3.960743492644794e-06,-0.002802780116685042,-0.0003694126315269233
0.0071001001633703,3.326045342879477e-07,4.3085330680824235e-06,-6.500971179904167e-09,-3.975928533794476e-06,-0.002790321151387629,-0.0002776269948951738
0.0071499999612569,2.6056943782693453e-07,4.2458131944849665e-06,-6.513404743793259e-09,-3.985243756658032e-06,-0.002784980556767644,-0.00022071425760237712
0.0072000999934971,2.406784194670056e-07,4.1943813248437605e-06,-6.523560612532612e-09,-3.953702905376755e-06,-0.002786784283642229,-0.00018470938327120427
