frame,time_s,min_signed_gap_mm,signed_node,signed_wall_element,min_unsigned_distance_mm,nearest_node,nearest_wall_element,CPRESS_max_MPa,CPRESS_active_values,CNORMF_max_N,CSHEARF_max_N,discrepancy_flag,contact_surface_name,geometric_wall_source
112,0.0055999998003244,0.0173532633277316,68,440,0.0264662297700865,68,440,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
113,0.0056500998325645,0.0051925109825101,68,440,0.0105418312052718,68,440,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
114,0.0057001002132892,0.006755261326791,68,440,0.0070717961269776,68,440,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
115,0.0057500000111758,0.0028363406417251,157,465,0.0174335816100471,68,440,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
116,0.005800100043416,0.0269062830130032,157,465,0.0278879557818285,68,440,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
117,0.0058499998413026,0.0340687806426468,68,440,0.0357977406037025,68,440,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
118,0.0059000002220273,0.0374415446298824,68,440,0.0412845949848743,68,440,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
119,0.0059500997886061,0.0365019259075529,17,440,0.044993110150975,68,440,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
120,0.006000000052154,0.0331395010312244,17,440,0.0480657732812249,68,440,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
121,0.0060501000843942,0.0254508052657334,68,440,0.0522897410990924,68,440,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
122,0.0061000999994575,0.0139966624510953,68,440,0.0597058699170981,68,440,0.0,0,0.0,0.0,False,ROBOT_SOLID_SURF ↔ PIPE_WALL_HELPER_SURF,Pipe_WALL_HELPER R3D4
