time_s,normalized_phase,alpha_B_deg,B_T,B_c_T,B_n_rock_T,B_b_rock_T,T_rock_Nmm,Bx_T,By_T,Bz_T
0.11620000000000001,0.5810000000000001,-4.872501257253323,0.010000000000000002,0.009963861767430124,-0.0008493872376862715,-8.673617379884035e-19,-0.0009238128851506108,0.009661513104591757,-0.0014608588807446439,0.0021262774655136825
0.1164,0.582,-4.927273415482914,0.010000000000000004,0.00996304523926985,-0.0008589118466189917,-4.336808689942018e-19,-0.0009341720665318106,0.009659975791823568,-0.0014702812618014693,0.0021267676677479757
0.11660000000000001,0.583,-4.981851053394908,0.010000000000000002,0.009962222554690347,-0.0008684018486961807,-1.3010426069826053e-18,-0.0009444936087095526,0.009658435157948429,-0.0014796688433328232,0.00212725419585339
0.1168,0.584,-5.036232016357609,0.010000000000000002,0.00996139384410651,-0.0008778568690834554,0.0,-0.000954777104005432,0.009656891359415977,-0.0014890212606043416,0.0021277370509311874
0.117,0.585,-5.090414157503712,0.01,0.009960559238877651,-0.0008872765345759386,-8.673617379884035e-19,-0.0009650221465133342,0.009655344553471255,-0.0014983381505607116,0.002128216234391442
0.11720000000000001,0.5860000000000001,-5.144395337815067,0.010000000000000002,0.009959718871286488,-0.0008966604736129624,-8.673617379884035e-19,-0.0009752283321154231,0.009653794898133021,-0.0015076191518389923,0.002128691747949702
0.1174,0.587,-5.198173426207097,0.010000000000000002,0.009958872874517914,-0.0009060083162926043,0.0,-0.0009853952584979503,0.009652242552171912,-0.0015168639047817615,0.0021291635936235877
0.11760000000000001,0.588,-5.2517462996129565,0.01,0.009958021382637666,-0.0009153196943860835,0.0,-0.0009955225251669178,0.009650687675088504,-0.0015260720514501144,0.002129631773729363
0.1178,0.589,-5.305111843067339,0.01,0.009957164530570876,-0.000924594241351995,-4.336808689942018e-19,-0.0010056097334635522,0.00964913042709125,-0.0015352432356364935,0.0021300962908784742
0.11800000000000001,0.59,-5.358267949789968,0.009999999999999998,0.009956302454080447,-0.0009338315923503886,0.0,-0.0010156564865796231,0.009647570969074282,-0.001544377102877354,0.0021305571479740327
0.1182,0.591,-5.411212521268756,0.01,0.009955435289745343,-0.0009430313842566926,-8.673617379884035e-19,-0.0010256623895725863,0.009646009462595142,-0.0015534733004656704,0.0021310143482072786
0.1184,0.592,-5.463943467342689,0.010000000000000002,0.009954563174938726,-0.0009521932556754909,-1.3010426069826053e-18,-0.001035627049380561,0.009644446069852354,-0.0015625314774632866,0.002131467895053998
0.11860000000000001,0.593,-5.516458706284307,0.01,0.009953686247805996,-0.0009613168469541283,0.0,-0.00104555007483714,0.009642880953662935,-0.0015715512847130886,0.0021319177922709074
