event,start_s,end_s,duration_us,peak_force_N,sector_deg,sector_bin_30deg,true_separation_after
194,0.016471967101097107,0.01663626730442047,164.59263861179352,0.07595340830912058,24.5712573325755,1,1
195,0.01666746661067009,0.01666886731982231,1.501757651567459,0.0635753755634399,264.2318200833439,9,0
196,0.016684865579009056,0.016686266288161278,1.501757651567459,0.0798944109846756,69.20843058597835,2,0
197,0.016695667058229446,0.016697166487574577,1.601874828338623,0.02865670734624192,264.17485649435855,9,0
198,0.01670556701719761,0.017456965520977974,752.380583435297,0.06907553859760025,15.306931394037212,1,1
199,0.017484964802861214,0.017486464232206345,1.601874828338623,0.05617534570556605,260.81159312687055,9,0
200,0.017502764239907265,0.01750536449253559,2.7031637728214264,0.05016754389317183,86.74436854578018,3,1
201,0.017525464296340942,0.017528165131807327,2.8032809495925903,0.04182784683514761,253.0676201729058,8,0
202,0.01753566414117813,0.01869846321642399,1164.2626486718655,0.10628753996444168,129.63741048572066,4,1
203,0.018742462620139122,0.018743962049484253,1.601874828338623,0.08275796433315248,264.2005490811416,9,1
204,0.0187691617757082,0.01877216249704361,3.103632479906082,0.08354488506118747,230.13742824785302,8,1
205,0.01879926212131977,0.018800562247633934,1.4016404747962952,0.05794189375218934,99.28092844370416,3,0
206,0.018815461546182632,0.0188225619494915,7.208436727523804,0.069244844041279,253.73168589682427,8,0
207,0.01883596181869507,0.01883726194500923,1.4016404747962952,0.03273837395023984,99.22569931812032,3,0
208,0.018845662474632263,0.01888166181743145,36.14230081439018,0.05195154440566591,120.87713545272932,4,0
209,0.018891362473368645,0.019291460514068604,400.6689414381981,0.0889325193060383,151.0232991420959,5,1
210,0.019323861226439476,0.019325261935591698,1.501757651567459,0.06624503326461753,264.2277191045962,9,1
211,0.01934536173939705,0.01934686116874218,1.601874828338623,0.03769025671131212,264.17967789119047,9,0
212,0.019354360178112984,0.019355660304427147,1.4016404747962952,0.09653223233321051,114.19710572009882,4,0
213,0.019371461123228073,0.019372960552573204,1.601874828338623,0.03499460036767634,264.22072437887846,9,0
214,0.019382860511541367,0.019387261942029,4.505272954702377,0.04612214677415613,138.86431816939063,5,0
215,0.019397661089897156,0.019601261243224144,203.93868908286095,0.10409009255597491,236.6647862749892,8,1
216,0.019643360748887062,0.019644660875201225,1.4016404747962952,0.08625149835503738,114.15136930804948,4,1
217,0.01966845989227295,0.019669760018587112,1.4016404747962952,0.04829694059086163,114.08155367026451,4,0
218,0.019679561257362366,0.019681060686707497,1.601874828338623,0.11048126006590714,279.2452027210722,9,0
219,0.019699061289429665,0.019700460135936737,1.501757651567459,0.040820816749598386,114.15959358525376,4,0
220,0.019710561260581017,0.019720159471035004,9.711366146802902,0.050041579534642,259.2860440270034,9,0
221,0.019731760025024414,0.019737660884857178,6.007030606269836,0.0256527903431467,201.40681345591648,7,0
222,0.0197430606931448,0.02034935913980007,607.1105599403381,0.08599803254956787,235.35979106303947,8,1
223,0.02038365975022316,0.020384959876537323,1.4016404747962952,0.07174830559880999,110.86099155938616,4,0
224,0.02040455862879753,0.020405959337949753,1.501757651567459,0.03890495752789808,110.84478226557292,4,0
225,0.020415758714079857,0.020418059080839157,2.4028122425079346,0.06287172219870704,294.62094265463696,10,0
226,0.02043635956943035,0.020437758415937424,1.501757651567459,0.039030050979009204,110.78976102094882,4,0
227,0.02044735848903656,0.020457159727811813,9.91160050034523,0.034123755605560926,298.95608260938286,10,0
228,0.020468758419156075,0.020470159128308296,1.501757651567459,0.027279632152486355,110.76084645567703,4,0
229,0.02047535963356495,0.02098945714533329,514.802522957325,0.051803196766890776,76.79336816910265,3,0
230,0.021008258685469627,0.02100975811481476,1.601874828338623,0.039990770171076315,294.28506258137696,10,0
231,0.021020857617259026,0.021027857437729836,7.10831955075264,0.05379655492014954,86.17140466268445,3,0
232,0.02103605680167675,0.021067457273602486,31.53691068291664,0.031206551201658158,302.3820919847618,10,0
233,0.021078357473015785,0.021079856902360916,1.601874828338623,0.022846713510776242,99.30000259987408,3,0
234,0.021085256710648537,0.02109275758266449,7.6089054346084595,0.022623213957073653,306.06337080741406,10,0
235,0.021098356693983078,0.021313857287168503,215.85263311862946,0.08094954221068247,328.3370684680931,11,1
236,0.021339556202292442,0.021340856328606606,1.4016404747962952,0.09803045349572911,114.15562905359054,4,1
237,0.021367957815527916,0.02136925794184208,1.4016404747962952,0.05503293256426265,114.20825006217717,4,0
238,0.02138405665755272,0.021386057138442993,2.1024607121944427,0.057335667049701874,311.0579593183167,10,0
239,0.021400656551122665,0.021402057260274887,1.501757651567459,0.03153902773456331,114.21323077287865,4,0
240,0.02140955626964569,0.0214297566562891,20.32378688454628,0.04104022191291075,347.20050601343064,0,0
241,0.02144075743854046,0.02144215628504753,1.501757651567459,0.025305949181340874,114.20262387079674,4,0
242,0.021448256447911263,0.0214555561542511,7.408671081066132,0.024351813443816515,324.774107955422,11,0
243,0.02146155759692192,0.022153055295348167,692.4103945493698,0.06958151782284785,7.64096291997243,0,1
244,0.022176556289196014,0.02217785455286503,1.4016404747962952,0.05143036077389287,114.2750978343845,4,0
245,0.02219155617058277,0.022192856296896935,1.4016404747962952,0.028074639240469056,114.23187761844859,4,0
246,0.02220035530626774,0.022210655733942986,10.41218638420105,0.05274233884303866,335.83124310945976,11,0
247,0.0222234558314085,0.022224854677915573,1.501757651567459,0.02695666710635158,114.17602838430055,4,0
248,0.022231854498386383,0.022245654836297035,13.916287571191788,0.03143766837927349,2.7346348649956127,0,0
249,0.02225295454263687,0.022280355915427208,27.532223612070084,0.09447579286150738,121.36944280404659,4,1
250,0.022319454699754715,0.022320955991744995,1.601874828338623,0.07376708634704744,324.21546145789694,11,1
251,0.022342655807733536,0.022375155240297318,32.638199627399445,0.10036610609329386,114.03944827547197,4,0
252,0.022384455427527428,0.022974854335188866,591.1919288337231,0.07237759299046874,79.3857448946531,3,1
253,0.0230056531727314,0.02300715446472168,1.601874828338623,0.05836059701674717,320.86801463894074,11,0
254,0.02302505448460579,0.023027153685688972,2.2025778889656067,0.03902992480392741,145.75110289616705,5,0
255,0.02304445393383503,0.02304595336318016,1.601874828338623,0.034798419263091004,320.7530358440918,11,0
256,0.02305365353822708,0.023054953664541245,1.4016404747962952,0.043740495386237074,144.27801185321385,5,0
257,0.023060454055666924,0.023835252970457077,775.8080027997494,0.03626574367088676,280.9102644594058,9,0
258,0.023846952244639397,0.02384835295379162,1.501757651567459,0.026256556653012256,144.19612614653383,5,0
259,0.023854952305555344,0.023868251591920853,13.415701687335968,0.02676002661050778,271.8562821171321,9,0
260,0.0238745529204607,0.024135852232575417,261.70630007982254,0.08469338156258867,176.26796177529178,6,1
261,0.024169450625777245,0.024170851334929466,1.501757651567459,0.06118513466139267,309.22686095558817,10,1
262,0.024191752076148987,0.024199452251195908,7.809139788150787,0.07136892669161672,250.87002209883377,8,1
263,0.0242217518389225,0.024223150685429573,1.501757651567459,0.04295624850274661,324.2298616601245,11,0
264,0.02423655055463314,0.02423805184662342,1.601874828338623,0.026137636313402955,324.2627157327009,11,0
265,0.024243751540780067,0.02424505166709423,1.4016404747962952,0.0780151721209172,159.27558943752518,5,0
266,0.02425765059888363,0.02425915189087391,1.601874828338623,0.027389950113614798,324.25464802787104,11,0
267,0.02426685206592083,0.02427005209028721,3.30386683344841,0.035072629604903746,174.78584856553505,6,0
268,0.02427925169467926,0.02498134970664978,703.0228152871132,0.07059792265347307,216.14132323996705,7,1
269,0.025007449090480804,0.025008849799633026,1.501757651567459,0.0509671414102887,324.232023227038,11,0
270,0.025025250390172005,0.025026749819517136,1.601874828338623,0.03064083014436779,324.26203348340175,11,0
271,0.02503264881670475,0.025033948943018913,1.4016404747962952,0.07536634163400886,174.1528297152747,6,0
272,0.025047048926353455,0.025048550218343735,1.601874828338623,0.02802199434936572,324.23904075487445,11,0
273,0.02505674958229065,0.025058848783373833,2.2025778889656067,0.13628895961410548,339.22169678317005,11,1
274,0.025088349357247353,0.025089649483561516,1.4016404747962952,0.059516053470090056,174.18660514924713,6,0
275,0.025106849148869514,0.025108149275183678,1.4016404747962952,0.03408553369460677,174.22617877334824,6,0
276,0.025117550045251846,0.02514764852821827,30.23538738489151,0.08142071105059841,321.7468034338292,11,1
277,0.025174150243401527,0.02517544850707054,1.4016404747962952,0.054692016038319524,174.23665217936647,6,0
